ObjectId,Country,Unit,Date,Amount
1,World,Parts Per Million,1958-03-01,315.7
2,World,Parts Per Million,1958-04-01,317.45
3,World,Parts Per Million,1958-05-01,317.51
4,World,Parts Per Million,1958-06-01,317.24
5,World,Parts Per Million,1958-07-01,315.86
6,World,Parts Per Million,1958-08-01,314.93
7,World,Parts Per Million,1958-09-01,313.2
8,World,Parts Per Million,1958-10-01,312.43
9,World,Parts Per Million,1958-11-01,313.33
10,World,Parts Per Million,1958-12-01,314.67
11,World,Parts Per Million,1959-01-01,315.58
12,World,Parts Per Million,1959-02-01,316.48
13,World,Parts Per Million,1959-03-01,316.65
14,World,Percent,1959-03-01,0.3
15,World,Parts Per Million,1959-04-01,317.72
16,World,Percent,1959-04-01,0.09
17,World,Parts Per Million,1959-05-01,318.29
18,World,Percent,1959-05-01,0.25
19,World,Parts Per Million,1959-06-01,318.15
20,World,Percent,1959-06-01,0.29
21,World,Parts Per Million,1959-07-01,316.54
22,World,Percent,1959-07-01,0.22
23,World,Parts Per Million,1959-08-01,314.8
24,World,Percent,1959-08-01,-0.04
25,World,Parts Per Million,1959-09-01,313.84
26,World,Percent,1959-09-01,0.2
27,World,Parts Per Million,1959-10-01,313.33
28,World,Percent,1959-10-01,0.29
29,World,Parts Per Million,1959-11-01,314.81
30,World,Percent,1959-11-01,0.47
31,World,Parts Per Million,1959-12-01,315.58
32,World,Percent,1959-12-01,0.29
33,World,Parts Per Million,1960-01-01,316.43
34,World,Percent,1960-01-01,0.27
35,World,Parts Per Million,1960-02-01,316.98
36,World,Percent,1960-02-01,0.16
37,World,Parts Per Million,1960-03-01,317.58
38,World,Percent,1960-03-01,0.29
39,World,Parts Per Million,1960-04-01,319.03
40,World,Percent,1960-04-01,0.41
41,World,Parts Per Million,1960-05-01,320.04
42,World,Percent,1960-05-01,0.55
43,World,Parts Per Million,1960-06-01,319.59
44,World,Percent,1960-06-01,0.45
45,World,Parts Per Million,1960-07-01,318.18
46,World,Percent,1960-07-01,0.52
47,World,Parts Per Million,1960-08-01,315.9
48,World,Percent,1960-08-01,0.35
49,World,Parts Per Million,1960-09-01,314.17
50,World,Percent,1960-09-01,0.11
51,World,Parts Per Million,1960-10-01,313.83
52,World,Percent,1960-10-01,0.16
53,World,Parts Per Million,1960-11-01,315.0
54,World,Percent,1960-11-01,0.06
55,World,Parts Per Million,1960-12-01,316.19
56,World,Percent,1960-12-01,0.19
57,World,Parts Per Million,1961-01-01,316.89
58,World,Percent,1961-01-01,0.15
59,World,Parts Per Million,1961-02-01,317.7
60,World,Percent,1961-02-01,0.23
61,World,Parts Per Million,1961-03-01,318.54
62,World,Percent,1961-03-01,0.3
63,World,Parts Per Million,1961-04-01,319.48
64,World,Percent,1961-04-01,0.14
65,World,Parts Per Million,1961-05-01,320.58
66,World,Percent,1961-05-01,0.17
67,World,Parts Per Million,1961-06-01,319.77
68,World,Percent,1961-06-01,0.06
69,World,Parts Per Million,1961-07-01,318.57
70,World,Percent,1961-07-01,0.12
71,World,Parts Per Million,1961-08-01,316.79
72,World,Percent,1961-08-01,0.28
73,World,Parts Per Million,1961-09-01,314.99
74,World,Percent,1961-09-01,0.26
75,World,Parts Per Million,1961-10-01,315.31
76,World,Percent,1961-10-01,0.47
77,World,Parts Per Million,1961-11-01,316.1
78,World,Percent,1961-11-01,0.35
79,World,Parts Per Million,1961-12-01,317.01
80,World,Percent,1961-12-01,0.26
81,World,Parts Per Million,1962-01-01,317.94
82,World,Percent,1962-01-01,0.33
83,World,Parts Per Million,1962-02-01,318.55
84,World,Percent,1962-02-01,0.27
85,World,Parts Per Million,1962-03-01,319.68
86,World,Percent,1962-03-01,0.36
87,World,Parts Per Million,1962-04-01,320.57
88,World,Percent,1962-04-01,0.34
89,World,Parts Per Million,1962-05-01,321.02
90,World,Percent,1962-05-01,0.14
91,World,Parts Per Million,1962-06-01,320.62
92,World,Percent,1962-06-01,0.27
93,World,Parts Per Million,1962-07-01,319.61
94,World,Percent,1962-07-01,0.33
95,World,Parts Per Million,1962-08-01,317.4
96,World,Percent,1962-08-01,0.19
97,World,Parts Per Million,1962-09-01,316.25
98,World,Percent,1962-09-01,0.4
99,World,Parts Per Million,1962-10-01,315.42
100,World,Percent,1962-10-01,0.03
101,World,Parts Per Million,1962-11-01,316.69
102,World,Percent,1962-11-01,0.19
103,World,Parts Per Million,1962-12-01,317.7
104,World,Percent,1962-12-01,0.22
105,World,Parts Per Million,1963-01-01,318.74
106,World,Percent,1963-01-01,0.25
107,World,Parts Per Million,1963-02-01,319.07
108,World,Percent,1963-02-01,0.16
109,World,Parts Per Million,1963-03-01,319.86
110,World,Percent,1963-03-01,0.06
111,World,Parts Per Million,1963-04-01,321.38
112,World,Percent,1963-04-01,0.25
113,World,Parts Per Million,1963-05-01,322.25
114,World,Percent,1963-05-01,0.38
115,World,Parts Per Million,1963-06-01,321.48
116,World,Percent,1963-06-01,0.27
117,World,Parts Per Million,1963-07-01,319.74
118,World,Percent,1963-07-01,0.04
119,World,Parts Per Million,1963-08-01,317.77
120,World,Percent,1963-08-01,0.12
121,World,Parts Per Million,1963-09-01,316.21
122,World,Percent,1963-09-01,-0.01
123,World,Parts Per Million,1963-10-01,315.99
124,World,Percent,1963-10-01,0.18
125,World,Parts Per Million,1963-11-01,317.07
126,World,Percent,1963-11-01,0.12
127,World,Parts Per Million,1963-12-01,318.35
128,World,Percent,1963-12-01,0.2
129,World,Parts Per Million,1964-01-01,319.57
130,World,Percent,1964-01-01,0.26
131,World,Parts Per Million,1964-02-01,320.01
132,World,Percent,1964-02-01,0.29
133,World,Parts Per Million,1964-03-01,320.74
134,World,Percent,1964-03-01,0.28
135,World,Parts Per Million,1964-04-01,321.84
136,World,Percent,1964-04-01,0.14
137,World,Parts Per Million,1964-05-01,322.26
138,World,Percent,1964-05-01,0.0
139,World,Parts Per Million,1964-06-01,321.89
140,World,Percent,1964-06-01,0.13
141,World,Parts Per Million,1964-07-01,320.44
142,World,Percent,1964-07-01,0.22
143,World,Parts Per Million,1964-08-01,318.69
144,World,Percent,1964-08-01,0.29
145,World,Parts Per Million,1964-09-01,316.7
146,World,Percent,1964-09-01,0.15
147,World,Parts Per Million,1964-10-01,316.87
148,World,Percent,1964-10-01,0.28
149,World,Parts Per Million,1964-11-01,317.68
150,World,Percent,1964-11-01,0.19
151,World,Parts Per Million,1964-12-01,318.71
152,World,Percent,1964-12-01,0.11
153,World,Parts Per Million,1965-01-01,319.44
154,World,Percent,1965-01-01,-0.04
155,World,Parts Per Million,1965-02-01,320.44
156,World,Percent,1965-02-01,0.13
157,World,Parts Per Million,1965-03-01,320.89
158,World,Percent,1965-03-01,0.05
159,World,Parts Per Million,1965-04-01,322.14
160,World,Percent,1965-04-01,0.09
161,World,Parts Per Million,1965-05-01,322.17
162,World,Percent,1965-05-01,-0.03
163,World,Parts Per Million,1965-06-01,321.87
164,World,Percent,1965-06-01,-0.01
165,World,Parts Per Million,1965-07-01,321.21
166,World,Percent,1965-07-01,0.24
167,World,Parts Per Million,1965-08-01,318.87
168,World,Percent,1965-08-01,0.06
169,World,Parts Per Million,1965-09-01,317.81
170,World,Percent,1965-09-01,0.35
171,World,Parts Per Million,1965-10-01,317.3
172,World,Percent,1965-10-01,0.14
173,World,Parts Per Million,1965-11-01,318.87
174,World,Percent,1965-11-01,0.37
175,World,Parts Per Million,1965-12-01,319.42
176,World,Percent,1965-12-01,0.22
177,World,Parts Per Million,1966-01-01,320.62
178,World,Percent,1966-01-01,0.37
179,World,Parts Per Million,1966-02-01,321.6
180,World,Percent,1966-02-01,0.36
181,World,Parts Per Million,1966-03-01,322.39
182,World,Percent,1966-03-01,0.47
183,World,Parts Per Million,1966-04-01,323.7
184,World,Percent,1966-04-01,0.48
185,World,Parts Per Million,1966-05-01,324.08
186,World,Percent,1966-05-01,0.59
187,World,Parts Per Million,1966-06-01,323.75
188,World,Percent,1966-06-01,0.58
189,World,Parts Per Million,1966-07-01,322.38
190,World,Percent,1966-07-01,0.36
191,World,Parts Per Million,1966-08-01,320.36
192,World,Percent,1966-08-01,0.47
193,World,Parts Per Million,1966-09-01,318.64
194,World,Percent,1966-09-01,0.26
195,World,Parts Per Million,1966-10-01,318.1
196,World,Percent,1966-10-01,0.25
197,World,Parts Per Million,1966-11-01,319.78
198,World,Percent,1966-11-01,0.29
199,World,Parts Per Million,1966-12-01,321.03
200,World,Percent,1966-12-01,0.5
