country_code,latitude,longitude,Country,ISO3,ISO2,Unit,Year,Temp(C),Carbon stocks in forests,Forest area,Index of carbon stocks in forests,Index of forest extent,Land area,Share of forest area
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F1992,-0.667,12.8846,257.886,100,100,7102,3.631174317
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F1993,-0.038,13.2068,264.329,102.5006597,102.4983908,7102,3.721895241
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F1994,0.381,13.529,270.772,105.0013194,104.9967815,7102,3.812616164
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F1995,-0.198,13.8512,277.215,107.5019791,107.4951723,7102,3.903337088
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F1996,0.306,14.1734,283.658,110.0026388,109.993563,7102,3.994058012
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F1997,-0.342,14.4956,290.101,112.5032985,112.4919538,7102,4.084778936
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F1998,0.968,14.8178,296.544,115.0039582,114.9903446,7102,4.175499859
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F1999,1.293,15.14,302.987,117.5046179,117.4887353,7102,4.266220783
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2000,0.681,15.4622,309.43,120.0052776,119.9871261,7102,4.356941707
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2001,0.56,15.5009,310.217,120.3056362,120.2922997,7102,4.368023092
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2002,1.123,15.5396,311.004,120.6059948,120.5974733,7102,4.379104478
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2003,1.052,15.5783,311.791,120.9063533,120.9026469,7102,4.390185863
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2004,1.052,15.617,312.578,121.2067119,121.2078205,7102,4.401267249
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2005,0.725,15.6557,313.365,121.5070705,121.5129941,7102,4.412348634
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2006,1.255,15.6944,314.152,121.807429,121.8181677,7102,4.42343002
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2007,0.802,15.7331,314.939,122.1077876,122.1233413,7102,4.434511405
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2008,0.777,15.7718,315.726,122.4081462,122.4285149,7102,4.445592791
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2009,0.896,15.8104,316.513,122.7077286,122.7336885,7102,4.456674176
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2010,1.482,15.8491,317.3,123.0080872,123.0388621,7102,4.467755562
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2011,1.121,15.8548,317.3,123.052326,123.0388621,7102,4.467755562
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2012,1.086,15.8606,317.3,123.097341,123.0388621,7102,4.467755562
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2013,0.739,15.8663,317.3,123.1415799,123.0388621,7102,4.467755562
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2014,0.909,15.872,317.3,123.1858187,123.0388621,7102,4.467755562
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2015,1.556,15.8777,317.3,123.2300576,123.0388621,7102,4.467755562
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2016,1.059,15.8777,317.3,123.2300576,123.0388621,7102,4.467755562
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2017,1.632,15.8777,317.3,123.2300576,123.0388621,7102,4.467755562
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2018,1.498,15.8777,317.3,123.2300576,123.0388621,7102,4.467755562
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2019,1.204,15.8777,317.3,123.2300576,123.0388621,7102,4.467755562
AE,23.424076,53.847818,United Arab Emirates,ARE,AE,Degree Celsius,F2020,1.21,15.8777,317.3,123.2300576,123.0388621,7102,4.467755562
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1992,0.445,1.2615,9.978,100,100,44,22.67727273
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1993,0.528,1.2532,9.912,99.34205311,99.3385448,44,22.52727273
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1994,0.493,1.2448,9.846,98.67617915,98.6770896,44,22.37727273
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1995,0.677,1.2365,9.78,98.01823226,98.0156344,44,22.22727273
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1996,0.377,1.2281,9.714,97.3523583,97.35417919,44,22.07727273
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1997,0.455,1.2198,9.648,96.69441141,96.69272399,44,21.92727273
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1998,1.046,1.2115,9.582,96.03646453,96.03126879,44,21.77727273
