ObjectId,Country,Unit,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
1,"Afghanistan, Islamic Rep. of",Number of,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,1.0,
2,"Afghanistan, Islamic Rep. of",Number of,,,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,
3,"Afghanistan, Islamic Rep. of",Number of,1.0,,,,,,,,1.0,,,3.0,2.0,,,2.0,1.0,2.0,1.0,1.0,,,4.0,8.0,2.0,8.0,7.0,7.0,1.0,3.0,2.0,2.0,6.0,4.0,2.0,1.0,4.0,1.0,3.0,6.0,5.0,2.0,5.0
4,"Afghanistan, Islamic Rep. of",Number of,,,,,,,,1.0,,,,,,2.0,,1.0,,1.0,1.0,,,,1.0,,,,2.0,,,1.0,2.0,,3.0,1.0,,4.0,,2.0,1.0,1.0,1.0,1.0,1.0
5,"Afghanistan, Islamic Rep. of",Number of,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,2.0,,,,,1.0,,,1.0,,,2.0,,,1.0,,
6,"Afghanistan, Islamic Rep. of",Number of,1.0,,,,,,,1.0,1.0,,1.0,4.0,2.0,3.0,,3.0,1.0,3.0,2.0,2.0,1.0,2.0,5.0,8.0,2.0,10.0,12.0,7.0,3.0,4.0,4.0,4.0,10.0,5.0,3.0,5.0,4.0,5.0,5.0,7.0,7.0,4.0,6.0
7,"Afghanistan, Islamic Rep. of",Number of,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,Albania,Number of,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Albania,Number of,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,
10,Albania,Number of,,,,,,,,,,,,,1.0,,,2.0,,1.0,,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,,,3.0,1.0,1.0,1.0,,,1.0,
11,Albania,Number of,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Albania,Number of,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
13,Albania,Number of,,,,,,2.0,,,,1.0,,,1.0,,,2.0,,1.0,,,,,2.0,,2.0,2.0,,2.0,,1.0,1.0,,1.0,,,3.0,1.0,2.0,1.0,,,1.0,
14,Albania,Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
15,Algeria,Number of,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Algeria,Number of,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,
17,Algeria,Number of,,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,,1.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,6.0,1.0,2.0,,1.0,2.0,,,2.0,,,1.0,,,2.0,
18,Algeria,Number of,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Algeria,Number of,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,
20,Algeria,Number of,,2.0,1.0,,1.0,1.0,,,1.0,,,,1.0,2.0,3.0,,1.0,1.0,,1.0,5.0,1.0,3.0,5.0,2.0,3.0,1.0,7.0,1.0,2.0,,1.0,2.0,,,2.0,,1.0,1.0,1.0,,3.0,1.0
21,Algeria,Number of,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0
22,American Samoa,Number of,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
23,American Samoa,Number of,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
24,American Samoa,Number of,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
25,Angola,Number of,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,,
26,Angola,Number of,,,,,,,,,,1.0,,,,,,,,,,,4.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,,1.0,,3.0,4.0,1.0,1.0,3.0,2.0,2.0,
27,Angola,Number of,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
28,Angola,Number of,,1.0,,,,1.0,,,,2.0,,,,,,,,1.0,,,5.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,,3.0,4.0,2.0,1.0,3.0,3.0,2.0,
29,Anguilla,Number of,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
30,Anguilla,Number of,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
31,Antigua and Barbuda,Number of,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Antigua and Barbuda,Number of,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,2.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,
33,Antigua and Barbuda,Number of,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,2.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,
34,Argentina,Number of,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,
35,Argentina,Number of,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,
36,Argentina,Number of,2.0,,1.0,2.0,,2.0,1.0,1.0,1.0,,1.0,,2.0,3.0,,2.0,,1.0,1.0,,4.0,3.0,1.0,2.0,2.0,,1.0,2.0,1.0,2.0,,,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,
37,Argentina,Number of,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,
38,Argentina,Number of,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,1.0,,2.0,2.0,1.0,1.0,,1.0,,,,1.0,,,2.0,1.0,,1.0,,,1.0,,1.0,,
39,Argentina,Number of,2.0,,1.0,2.0,1.0,2.0,2.0,3.0,1.0,,1.0,,2.0,4.0,1.0,4.0,,1.0,2.0,1.0,8.0,7.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,,3.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,2.0,2.0,1.0
40,Argentina,Number of,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0
41,"Armenia, Rep. of",Number of,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
42,"Armenia, Rep. of",Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
43,"Armenia, Rep. of",Number of,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
44,"Armenia, Rep. of",Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
45,"Armenia, Rep. of",Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,
46,"Armenia, Rep. of",Number of,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,2.0,,,1.0,,1.0,1.0,1.0,,
47,Australia,Number of,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,
48,Australia,Number of,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,
