ObjectId,Country,Unit,Amount,year
1,World,Parts Per Million,315.7,1958
2,World,Parts Per Million,317.45,1958
3,World,Parts Per Million,317.51,1958
4,World,Parts Per Million,317.24,1958
5,World,Parts Per Million,315.86,1958
6,World,Parts Per Million,314.93,1958
7,World,Parts Per Million,313.2,1958
8,World,Parts Per Million,312.43,1958
9,World,Parts Per Million,313.33,1958
10,World,Parts Per Million,314.67,1958
11,World,Parts Per Million,315.58,1959
12,World,Parts Per Million,316.48,1959
13,World,Parts Per Million,316.65,1959
14,World,Percent,0.3,1959
15,World,Parts Per Million,317.72,1959
16,World,Percent,0.09,1959
17,World,Parts Per Million,318.29,1959
18,World,Percent,0.25,1959
19,World,Parts Per Million,318.15,1959
20,World,Percent,0.29,1959
21,World,Parts Per Million,316.54,1959
22,World,Percent,0.22,1959
23,World,Parts Per Million,314.8,1959
24,World,Percent,-0.04,1959
25,World,Parts Per Million,313.84,1959
26,World,Percent,0.2,1959
27,World,Parts Per Million,313.33,1959
28,World,Percent,0.29,1959
29,World,Parts Per Million,314.81,1959
30,World,Percent,0.47,1959
31,World,Parts Per Million,315.58,1959
32,World,Percent,0.29,1959
33,World,Parts Per Million,316.43,1960
34,World,Percent,0.27,1960
35,World,Parts Per Million,316.98,1960
36,World,Percent,0.16,1960
37,World,Parts Per Million,317.58,1960
38,World,Percent,0.29,1960
39,World,Parts Per Million,319.03,1960
40,World,Percent,0.41,1960
41,World,Parts Per Million,320.04,1960
42,World,Percent,0.55,1960
43,World,Parts Per Million,319.59,1960
44,World,Percent,0.45,1960
45,World,Parts Per Million,318.18,1960
46,World,Percent,0.52,1960
47,World,Parts Per Million,315.9,1960
48,World,Percent,0.35,1960
49,World,Parts Per Million,314.17,1960
50,World,Percent,0.11,1960
51,World,Parts Per Million,313.83,1960
52,World,Percent,0.16,1960
53,World,Parts Per Million,315.0,1960
54,World,Percent,0.06,1960
55,World,Parts Per Million,316.19,1960
56,World,Percent,0.19,1960
57,World,Parts Per Million,316.89,1961
58,World,Percent,0.15,1961
59,World,Parts Per Million,317.7,1961
60,World,Percent,0.23,1961
61,World,Parts Per Million,318.54,1961
62,World,Percent,0.3,1961
63,World,Parts Per Million,319.48,1961
64,World,Percent,0.14,1961
65,World,Parts Per Million,320.58,1961
66,World,Percent,0.17,1961
67,World,Parts Per Million,319.77,1961
68,World,Percent,0.06,1961
69,World,Parts Per Million,318.57,1961
70,World,Percent,0.12,1961
71,World,Parts Per Million,316.79,1961
72,World,Percent,0.28,1961
73,World,Parts Per Million,314.99,1961
74,World,Percent,0.26,1961
75,World,Parts Per Million,315.31,1961
76,World,Percent,0.47,1961
77,World,Parts Per Million,316.1,1961
78,World,Percent,0.35,1961
79,World,Parts Per Million,317.01,1961
80,World,Percent,0.26,1961
81,World,Parts Per Million,317.94,1962
82,World,Percent,0.33,1962
83,World,Parts Per Million,318.55,1962
84,World,Percent,0.27,1962
85,World,Parts Per Million,319.68,1962
86,World,Percent,0.36,1962
87,World,Parts Per Million,320.57,1962
88,World,Percent,0.34,1962
89,World,Parts Per Million,321.02,1962
90,World,Percent,0.14,1962
91,World,Parts Per Million,320.62,1962
92,World,Percent,0.27,1962
93,World,Parts Per Million,319.61,1962
94,World,Percent,0.33,1962
95,World,Parts Per Million,317.4,1962
96,World,Percent,0.19,1962
97,World,Parts Per Million,316.25,1962
98,World,Percent,0.4,1962
99,World,Parts Per Million,315.42,1962
100,World,Percent,0.03,1962
101,World,Parts Per Million,316.69,1962
102,World,Percent,0.19,1962
103,World,Parts Per Million,317.7,1962
104,World,Percent,0.22,1962
105,World,Parts Per Million,318.74,1963
106,World,Percent,0.25,1963
107,World,Parts Per Million,319.07,1963
108,World,Percent,0.16,1963
