ObjectId,Country,Unit,Measure,Amount,Year
1,World,Millimeters,Andaman Sea,-10.34,1992
2,World,Millimeters,Arabian Sea,-18.46,1992
3,World,Millimeters,Atlantic Ocean,-15.41,1992
4,World,Millimeters,Baltic Sea,196.85,1992
5,World,Millimeters,Bay Bengal,3.27,1992
6,World,Millimeters,Caribbean Sea,-13.58,1992
7,World,Millimeters,Gulf Mexico,-3.95,1992
8,World,Millimeters,Indian Ocean,-27.63,1992
9,World,Millimeters,Indonesian,-3.09,1992
10,World,Millimeters,Mediterranean,39.02,1992
11,World,Millimeters,Nino,-3.13,1992
12,World,Millimeters,North Pacific,19.59,1992
13,World,Millimeters,North Sea,44.01,1992
14,World,Millimeters,Pacific Ocean,-14.88,1992
15,World,Millimeters,Persian Gulf,134.53,1992
16,World,Millimeters,Sea Japan,-46.65,1992
17,World,Millimeters,Sea Okhotsk,-4.39,1992
18,World,Millimeters,South China,-4.6,1992
19,World,Millimeters,Southern Ocean,-24.43,1992
20,World,Millimeters,Tropics,-19.64,1992
21,World,Millimeters,World,-15.95,1992
22,World,Millimeters,Yellow Sea,-70.61,1992
23,World,Millimeters,Adriatic Sea,9.19,1992
24,World,Millimeters,Bering Sea,-5.35,1992
25,World,Millimeters,North Atlantic,-0.23,1992
26,World,Millimeters,Andaman Sea,-2.64,1992
27,World,Millimeters,Baltic Sea,228.05,1992
28,World,Millimeters,Bay Bengal,11.67,1992
29,World,Millimeters,Mediterranean,-12.98,1992
30,World,Millimeters,North Sea,63.31,1992
31,World,Millimeters,Persian Gulf,112.23,1992
32,World,Millimeters,Sea Japan,-23.05,1992
33,World,Millimeters,Sea Okhotsk,-38.09,1992
34,World,Millimeters,South China,-15.9,1992
35,World,Millimeters,Arabian Sea,8.14,1992
36,World,Millimeters,Atlantic Ocean,-10.31,1992
37,World,Millimeters,Bering Sea,-30.85,1992
38,World,Millimeters,Caribbean Sea,-2.48,1992
39,World,Millimeters,Gulf Mexico,-13.75,1992
